區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
7,瑪家淨水場,217809.0770 ,2508667.4880 ,屏東縣：(瑪家鄉)上、中、下部落。,隘寮溪支流
7,馬公8號深井,105603.2700 ,2607063.6460 ,馬公市,馬公8號深井
7,湖西3號深井,108464.0500 ,2610737.4150 ,湖西鄉,湖西3號深井
7,馬公42號深井,105123.5200 ,2609597.7180 ,馬公市,馬公42號深井
7,澎南1號深井,107250.2850 ,2604047.3970 ,馬公市,澎南1號深井
7,馬公60號深井,106482.2420 ,2606445.7390 ,馬公市,馬公60號深井
7,馬公32號深井,105372.6650 ,2608124.4890 ,馬公市,馬公32號深井
7,馬公56號深井,105785.3350 ,2606544.8650 ,馬公市,馬公56號深井
7,馬公63號深井,110201.8720 ,2605640.5300 ,馬公市,馬公63號深井
7,將軍鹽水淡化廠,99398.88,2585574.53,澎湖縣：(望安鄉)全鄉,烏溝水塘
7,高士淨水場,234364.03,2447294.35,屏東縣：(牡丹鄉)高士村,九棚溪(北側支流)
7,馬公23號深井,106221.7340 ,2606497.4800 ,馬公市,馬公23號深井
7,馬公28號深井,107260.7440 ,2608616.7180 ,馬公市,馬公28號深井
7,馬公46號深井,108013.7250 ,2606119.9700 ,馬公市,馬公46號深井
7,馬公49號深井,107254.4630 ,2606801.3030 ,馬公市,馬公49號深井
7,馬公58號深井,106270.7350 ,2606287.8560 ,馬公市,馬公58號深井
7,澎南8號深井,106749.4250 ,2604184.5500 ,馬公市,澎南8號深井
7,澎南7號深井,106040.2310 ,2603616.1420 ,馬公市,澎南7號深井
7,多納淨水場,215461.06,2531658.11,高雄市：(茂林區)多納里,多納1口井
7,澎南4號深井,105606.8380 ,2603106.5250 ,馬公市,澎南4號深井
7,馬公10號深井,104809.4450 ,2607960.8050 ,馬公市,馬公10號深井
7,馬公22號深井,104359.6660 ,2609509.9320 ,馬公市,馬公22號深井
7,馬公27號深井,105220.5450 ,2607652.0990 ,馬公市,馬公27號深井
7,馬公19號深井,104144.8080 ,2609004.3890 ,馬公市,馬公19號深井
7,民生淨水場,221417.24,2573853.38,高雄市：(那瑪夏區)達卡努瓦村。,旗山溪支流
7,霧台淨水場,222431.6890 ,2516244.9980 ,屏東縣：(霧台鄉)上、下霧台、去露。,隘寮南溪
7,澎南3號深井,106566.5770 ,2603180.1810 ,馬公市,澎南3號深井
7,澎南2號深井,107042.8030 ,2602849.2990 ,馬公市,澎南2號深井
7,望安海淡廠,96377.45,2585275.20,澎湖縣：(望安鄉)全鄉,望安海水淡化廠
7,四春淨水場,222745.7402 ,120270.9503 ,(潮州鎮)四春里,四春深井
7,茂林淨水場,215457.61,2531658.47,"高雄市：茂林區茂林里、(六龜區)大津里1鄰
",茂林2口井
7,萬安淨水場,223730.0000 ,1203840.0000 ,(泰武鄉)萬安、安平、達里,東港溪
7,寶隆淨水場,203913.68,2549102.29,"高雄市：
(甲仙區)頂埔、下埔(又名匏仔園)。
(杉林區)八張犁、十張犁、溪埔。變成甲仙淨水場的備用場，目前不供水。",旗山溪
7,馬公16號深井,103440.7750 ,2608094.4270 ,馬公市,馬公16號深井
7,望安淨水場,96313.63,2585350.81,澎湖縣：(望安鄉)全鄉,東港溪
7,西嶼海水淡化廠,97984.42,2612868.89,澎湖縣：(西嶼鄉)全鄉,西嶼海水淡化廠
7,古華淨水場,222117.6824 ,1203634.1430 ,"屏東縣：
(南州鄉)(東港鎮)(佳冬鄉)(新園鄉)(崁頂鄉)(琉球鄉) 全鄉鎮
(春日鄉)(枋寮鄉)(林邊鄉)部分地區",古華1口井
7,吉貝淨水場,108584.32,2627485.03,澎湖縣：白沙鄉吉貝村。,吉貝7口深井
7,桑園淨水場,231960.50,2451216.15,屏東縣：牡丹鄉東源村、旭海村、牡丹村。,牡丹溪
7,木梓淨水場,204405.74,2546395.76,"高雄市：
(杉林區)木梓、木梓國小、白水泉、紅毛山、杉林國中、月眉國小、上平里、新庄里。",旗山溪
7,潮新淨水場,223133.2807 ,1203545.2453 ,"屏東縣：
潮州鎮：劉厝尾、九塊、埤仔頭、溪寮、崙仔頂、焦庄、新庄、鳳尾新庄、新開寮。",潮新8號井
