fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"121","120",711b539b-e507-4873-a125-f408b548aee5,24.963083,121.309284,大灣溝和強路口,H08,"68000080",桃園市,八德區,Bade District,H,"68000"
"122","121",bd0c1c4d-add5-430d-9ef7-dcd745f31240,24.856106,121.217739,龍華路460號,H09,"68000090",桃園市,龍潭區,Longtan District,H,"68000"
"123","122",277d9b9e-97ec-4acd-aaab-aecf3840b6fb,24.918044,121.251558,平東路86巷,H10,"68000100",桃園市,平鎮區,Pingzhen District,H,"68000"
"124","123",01670c31-a149-425d-b16f-44700385bb71,25.042382,121.304703,南上路350巷-2,H07,"68000070",桃園市,龜山區,Guishan District,H,"68000"
"125","124",e1a7230a-2226-4220-9e86-d85d5585dc1d,23.33774,120.13824,布袋鎮好美里,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
"126","125",acd07d9c-a3c2-4295-8023-3055c27a96b5,24.849061,121.22841,中正路三林段216巷,H09,"68000090",桃園市,龍潭區,Longtan District,H,"68000"
"127","126",7d47e361-dab4-4872-bf61-4677ed5eac6d,23.41534,120.17974,布袋鎮過溝西安里,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
"128","127",4b42df94-3ce1-478d-8be4-2faf8d334330,23.599943,120.191301,口湖鄉興南國小淹水感測站,P19,"10009190",雲林縣,口湖鄉,Kouhu Township,P,"10009"
"129","128",d7cd0e6d-b16b-4920-aa7a-9398222d2de7,24.952215,121.26551,晉元路390號,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"130","129",c65be5dc-3e90-4bfd-b0a1-8a197e30a88a,24.98467,121.278024,富裕街,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
"131","130",0f0b284f-4e2f-42d0-9aa6-6c6af844c2c3,25.04455,121.219844,中正東路一段840巷,H06,"68000060",桃園市,大園區,Dayuan District,H,"68000"
"132","131",4958ecff-7a87-4630-ad46-bc7698269fb6,24.96422,121.236238,中華路普忠路-1,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"133","132",540c0c2e-b53d-44d1-b63c-fcf101df5570,25.005036,121.318639,福元街,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
